Book#,title,short_description,page
2539,Blowgun Techniques,The Definitive Guide to Modern and Traditional Blowgun Techniques,144
2540,Blue,,0
2541,Blue Blood,Duke-Carolina: Inside the Most Storied Rivalry in College Hoops,0
2542,Blue Horizons,Dispatches from Distant Seas,176
2543,"Blue Jays 1, Expos 0",The Urban Rivalry That Killed Major League Baseball in Montreal,204
2544,Blue Mind,"The Surprising Science That Shows How Being Near, In, On, or Under Water Can Make You Happier, Healthier, More Connected, and Better at What You Do",352
2545,Blue Moon,The Modern Football Classic of a Season Down Among the Dead Men,224
2546,Blue Murder Chelsea Till I Die,,449
2547,"Blue Rage, Black Redemption",A Memoir,416
2548,Blue Ribbon College Football Yearbook,,1829
2549,Blue Streak,"The Highs, Lows and Behind the Scenes Hijinks of a National Champion",412
2550,Blue Thunder,The Jock Wallace Story,253
2551,Blue Upright,The Flies of a Lifetime,224
2552,Blue Valor,,384
2553,Blue Vaudeville,"Sex, Morals and the Mass Marketing of Amusement, 1895-1915",209
2554,"Blue Water, Green Skipper",A Memoir of Sailing Alone Across the Atlantic,224
2555,Blue With Envy: My American Journey With Manchester City,,91
2556,Blue-Collar Pop Culture: From NASCAR to Jersey Shore,,714
2557,Bluegrass,A True Story of Murder in Kentucky,240
2558,Bluegrass Baseball,A Year in the Minor League Life,274
2559,Bluegrass Baseball,A Year in the Minor League Life,275
2560,Blueprint to a Baseball Road Trip,Appendix to the book: 99 Lessons of a Baseball Road Trip,0
2561,Blues & Beatles,,220
2562,Bluewater Sailing on a Budget,,160
2563,BMX Racing,,144
2564,Board,,204
2565,Boat Green,50 Steps Boaters Can Take to Save Our Waters,241
2566,"Boat Maintenance: The Essential Guide Guide to Cleaning, Painting, and Cosmetics","The Essential Guide Guide to Cleaning, Painting, and Cosmetics",176
2567,Boat Mechanical Systems Handbook,"How to Design, Install, and Recognize Proper Systems in Boats",448
2568,"Boatbuilding Manual, Fifth Edition",,448
2569,"Boating Skills and Seamanship, 14th Edition",,0
2570,"Boating Skills and Seamanship, BOOK",,384
2571,Boatowner's Illustrated Electrical Handbook,,320
2572,Boatowner's Mechanical and Electrical Manual,"How to Maintain, Repair, and Improve Your Boat's Essential Systems",832
2573,Boatowners Mechanical and Electrical Manual 4/E,,0
2574,Boats of South Asia,,333
2575,BoatWorks,,224
2576,Bob Chandler's Tales from the San Diego Padres Dugout,A Collection of the Greatest Padres Stories Ever Told,208
2577,Bob Feller's Little Blue Book of Baseball Wisdom,,177
2578,Bob Greene's Total Body Makeover,An Accelerated Program of Exercise and Nutrition f,0
2579,Bob Harmon St. Louis Cardinals Pitcher,,13
2580,Bob Huggins: Pressed for Success,,999
2581,Bob Knight,The Unauthorized Biography,352
2582,Bob Logan's Tales from Chicago Sports,"Cubs, Bulls, Bears, and Other Animals",324
2583,Bob Pratt,Legend of the Australian Football Hall Of Fame,25
2584,Bob Skilton,Legend of the Australian Football Hall Of Fame,25
2585,Bob Zuppke,The Life and Football Legacy of the Illinois Coach,225
2586,Bobby Cremins' Ultimate Offense: Winning Basketball Strategies and Plays from an NCAA Coach's Personal Playbook,,240
2587,Bobby Cremins' Ultimate Offense: Winning Basketball Strategies and Plays from an NCAA Coach's Personal Playbook,,176
2588,Bobby Flay's Boy Gets Grill,125 Reasons to Light Your Fire!,320
2589,Bobby Flay's Grilling For Life,75 Healthier Ideas for Big Flavor from the Fire,224
2590,Bobby Johnstone,The Passing of an Age,222
2591,Bobby Jones on Golf,,276
2592,Bobby Jones on Golf,,0
2593,Bobby Moore,The Definitive Biography,352
2594,Bobby Moore,The Man in Full,400
2595,Bobby Moore and Graham Gooch,Sporting Heroes of Essex and East London 1960-2000,405
2596,Bobby Moore to Thierry Henry,A Girl's Own Story,200
2597,Bobby Moore: By the Person Who Knew Him Best (Text Only),,336
2598,Bobby the Brain,Wrestling's Bad Boy Tells All,233
2599,Bobby's Open,Mr Jones and the Golf Shot that Defined a Legend,300
2600,"Bode: Go Fast, Be Good, Have Fun",,241
2601,Bodensee,Wandermagazin SCHWEIZ 10/11_2013,96
2602,Body and Mind,Sport in Europe from the Roman Empire to the Renaissance,208
2603,Body by Science,A Research Based Program to Get the Results You Want in 12 Minutes a Week,288
2604,Body by Weimar,"Athletes, Gender, and German Modernity",197
2605,Body Clutter,"Love Your Body, Love Yourself",256
2606,"Body Composition in Sport, Exercise and Health",,240
2607,Body Confidence,Venice Nutrition's 3-Step System That Unlocks Your Body's Full Potential,352
2608,Body Cultures,"Essays on Sport, Space & Identity by Henning Eichberg",179
2609,Body Fitness & Exercise,,349
2610,Body Knowledge and Control,Studies in the Sociology of Physical Education and Health,271
2611,Body Massage for the Beauty Therapist,,304
2612,Body Mind Mastery,Creating Success in Sports and Life,192
2613,Body Politic,The Great American Sports Machine,0
2614,Body Power Swing,,82
2615,Body Sculpting with Kettlebells for Men,The Complete Strength and Conditioning Plan - Includes Over 75 Exercises plus Daily Workouts and Nutrition for Maximum Results,208
2616,Body Slam: The Jesse Ventura Story,,249
2617,Body Weight Training,Volume One,0
2618,"Body, Sport and Society in Norden",Essays in Cultural History,180
2619,"Bodybuilding, Drugs and Risk",,230
2620,Bogey Train,,195
2621,Bolender's Guide to Mastering Mountain and Extreme Trail Riding,,232
2622,Bolick's Guide to Fantasy Baseball Prospects,2014,0
2623,"Bolivie : Les Andes, guide d'Alpinisme",,79
2624,"Bolivie : Les Andes, guide de trekking",,70
2625,Bollettieri,Changing the Game,320
2626,Bollywood's Top 20,Superstars of Indian Cinema,296
2627,"Bom Dia, Brasilien",,96
2628,"Bombe, Missili e Petardi di Mercato",,30
2629,Bonded At the Seams,Baseball In Our Lives,128
2630,Bonefish Fly Patterns,"Tying, Selecting, and Fishing all the Best Bonefish Flies from Today's Best Tiers",320
2631,Bonetti's Blues,Dundee FC and its Cultural Experiment,0
2632,Boney's Pulpit,Lessons from Cypress Point,61
2633,Book 4: Soccer Coaching Knowledge,Academy of Coaching Soccer Skills and Fitness Drills,164
2634,Book of Baseball Stuff,,192
2635,Book of Football Stuff,,192
2636,Book of Miniature Horses,"Buying, Breeding, Training, Showing, and Enjoying",160
2637,Book Title,,15
2638,Book Title,Everything you need to knowabout climbing Africa's highest peak,26
2639,Booker T: From Prison to Promise,Life Before the Squared Circle,226
2640,Bookie Gambler Fixer Spy,A Journey to the Heart of Cricket's Underworld,240
2641,Books That Change Lives: A Sampling from Patagonia Books,,355
2642,"Boom, Baby!",My Basketball Life in Indiana,288
2643,Boomerangs,How to Make and Throw Them,112
2644,Boone and Crockett Club's Complete Guide to Hunting Whitetails,Deer Hunting Tips Guaranteed to Improve Your Success in the Field,272
2645,Boost Your Driving Range and Master Your Putting,,84
2646,Booted and Suited,,444
2647,Boots en Brannewyn,Snaakse Stories uit die RugbywÃªreld,192
2648,Boots Poffenberger,"Hurler, Hero, Hell-Raiser",248
2649,"Boozing, Betting & Brawling: The Autobiography of Mel Sterland",,240
2650,Border Country Cycle Routes,,160
2651,Born in a Tent,How Camping Makes Us Australian,289
2652,Born to Explore,,372
2653,Born to Fight,The True Story of Richy Crazy Horse Horsley,266
2654,Born to Fight,,0
2655,Born to Fly,Three Generations of Kiwi Helicopter Pilots,272
2656,Born to Perform: How Sport Has Shaped My Life,,250
2657,Born to Ride,The Autobiography of Stephen Roche,320
2658,Born to Run,,0
2659,Born to Score,The Autobiography,0
2660,Born Under a Union Flag,"Rangers, the Union & Scottish Independence",176
2661,Bo's Lasting Lessons,The Legendary Coach Teaches the Timeless Fundamentals of Leadership,352
2662,Bo's Lasting Lessons,The Legendary Coach Teaches the Timeless Fundamentals of Leadership,336
2663,Bo's Warriors,Bo Schembechler and the Transformation of Michigan Football,256
2664,Boston Celtics IQ: The Ultimate Test of True Fandom,The Ultimate Test of True Fandom,78
2665,Boston Celtics IQ: The Ultimate Test of True Fandom (Volume II),The Ultimate Test of True Fandom,63
2666,Boston Marathon,How to Qualify!,208
2667,Boston Red Sox,An Interactive Guide to the World of Sports,321
2668,Boston Red Sox and the Meaning of Life,,401
2669,Boston Red Sox Baseball,By The Numbers,112
2670,Boston Red Sox IQ: The Ultimate Test of True Fandom,The Ultimate Test of True Fandom,75
2671,Boston Red Sox IQ: The Ultimate Test of True Fandom (Volume II),The Ultimate Test of True Fandom - Curse in the Rearview Mirror,74
2672,Both Sides of the Fence,A Life In and Out of Speedway Racing,288
2673,Bothamâ€™s Century: My 100 great cricketing characters,,432
2674,Botham's Book of the Ashes,A Lifetime Love Affair with Cricket's Greatest Rivalry,240
2675,Bottle,The Completely True Story of an Ex-Football Hooligan,224
2676,Bottom of the 33rd,Hope and Redemption in Baseball's Longest Game,272
2677,Bottom of the Ninth,"Branch Rickey, Casey Stengel, and the Daring Scheme to Save Baseball from Itself",250
2678,Bottom of the Ninth,"Branch Rickey, Casey Stengel, and the Daring Scheme to Save Baseball from Itself",0
2679,Bouldering,"Movement, Tactics, and Problem Solving",224
2680,Bouldering Colorado,"More Than 1,000 Premier Boulders Throughout The State",608
2681,Bounce,"Mozart, Federer, Picasso, Beckham, and the Science of Success",320
2682,Bounce Back,Overcoming Setbacks to Succeed in Business and in Life,320
2683,Bouncy the Tennis Ball,,0
2684,Boundary Waters Canoe Area: Eastern Region,,213
2685,Boundary Waters Canoe Area: Western Region,,0
2686,Boundary Waters Canoe Camping,,208
2687,Bouts of Mania,"Ali, Frazier, and Foreman--and an America on the Ropes",297
2688,Bowden,,304
2689,Bowed Leg (Varus) and Knock-Knee (Valgus) Malalignment,Everything You Need to Know to Make the Right Treatment Decision,0
2690,Bowhunting Mega Bucks,,144
2691,Bowhunting Tactics That Deliver Trophies,A Guide to Finding and Taking Monster Whitetail Bucks,192
2692,Bowhunting's Superbucks,How Some of the Biggest Bucks in North America Were Taken,240
2693,Bowled Over,Big-Time College Football from the Sixties to the BCS Era,352
2694,Bowled Over,Big-Time College Football from the Sixties to the BCS Era,349
2695,Bowler's Start-Up,A Beginner's Guide to Bowling,112
2696,Bowling,Geschichte & Regeln. AusrÃ¼stung & Technik. Mit vielen Tipps & Adressen,185
2697,Bowling,,64
2698,Bowling Across America,50 States in Rented Shoes,320
2699,Bowling Alone,,544
2700,Bowling For Dummies,,0
2701,Bowlology,"Cricket, Life and Stories from the Avenue of Apprehension",352
2702,BOWLS,"Skills, Techniques, Tactics",128
2703,"Bowls, Polls, and Tattered Souls",Tackling the Chaos and Controversy That Reign Over College Football,268
2704,"Bows, Swamps, Whitetails",,154
2705,Bowties & Bowl Games 2014 SEC Football Preview,,491
2706,Boxeando por Cuba,La Historia de un Immigrante,256
2707,Boxed Set: Daily Yoga Beginners:15 Daily Yoga Practice At Home Exercises + Daily Quick Yoga Routine For Beginners + Zen Buddhism Mindfulness Meditation Poems Book+13 Yoga Fitness Hacks & Yoga Practice,,165
2708,Boxer's Bible of Counterpunching,The Killer Response to Any Attack,192
2709,Boxer's Book of Conditioning & Drilling,,192
2710,Boxing,Medical Aspects,817
2711,Boxing,A Cultural History,480
2712,Boxing,A Concise History of the Sweet Science,360
2713,Boxing,"Training, Skills and Techniques",112
2714,Boxing Fitness,,0
2715,Boxing for MMA,Building the Fistic Edge in Competition & Self-Defense for Men & Women,144
2716,"Boxing in New Jersey, 1900-1999",,203
2717,"Boxing in New Mexico, 1868-1940","A History, 1868-1940",449
2718,Boxing in Philadelphia,Tales of Struggle and Survival,250
2719,Boxing Mastery,"Advanced Technique, Tactics, and Strategies from the Sweet Science",224
2720,Boxing On This Day,"History, Facts & Figures from Every Day of the Year",179
2721,Boxing's Strangest Fights,Incredible but true encounters from over 250 years of boxing history,300
2722,Boxing's Ten Commandments,Essential Training for the Sweet Science,224
2723,Boy Scouts - A Guide To Building & Running A Scout Troop,,132
2724,Boy Scouts Handbook,Original 1911 Edition,448
2725,"Boy Scouts Handbook  (The First Edition), 1911",,360
2726,Boycott,Stolen Dreams of the 1980 Moscow Olympic Games,268
2727,Boy's Book of Camping and Wood Crafts,,250
2728,Boys Will Be Boys,,416
2729,"Bradford Washburn, An Extraordinary Life",The Autobiography of a Mountaineering Icon,320
2730,Bradley Beal Signature Workout Program,,30
2731,Bradley Wiggins,Tour de Force,256
2732,Bradley Wiggins,The Story of Britain's Greatest-ever Cyclist,128
2733,Bradman,,0
2734,Bradman's War,,448
2735,Brady vs Manning,The Untold Story of the Rivalry That Transformed the NFL,272
2736,Brady vs Manning,The Untold Story of the Rivalry That Transformed the NFL,0
2737,Braiding Manes and Tails,A Visual Guide to 30 Basic Braids,152
2738,Brain Training For Runners,"A Revolutionary New Training System to Improve Endurance, Speed, Health, and Res ults",576
2739,Brain Trust,The Hidden Connection Between Mad Cow and Misdiagnosed Alzheimer's Disease,0
2740,Braking Bad,Chasing Lance Armstrong and the Cancer of Corruption,64
2741,Branch Rickey,A Life,160
2742,Branch Rickey,Baseball's Ferocious Gentleman,716
2743,Brand NFL,Making and Selling America's Favorite Sport,344
2744,Brand NFL,Making and Selling America's Favorite Sport,343
2745,Brasil 2014,,320
2746,Brasil 50,Retratos del Mundial del Maracanazo,352
2747,Brasil em jogo,O que fica da copa e das olimp??adas?,118
2748,Brasilien-Berichterstattung in der deutschen Presse,,254
2749,Brave Companions,,256
2750,Brave Dragons,"A Chinese Basketball Team, an American Coach, and Two Cultures Clashing",336
2751,Brave Dragons,"A Chinese Basketball Team, an American Coach, and Two Cultures Clashing",320
2752,BraveHearts,The Against-All-Odds Rise of Gonzaga Basketball,224
2753,Brawl,A Behind-the-Scenes Look at Mixed Martial Arts Competition,240
2754,Brazil World Cup 2014 Squad,,18
2755,Brazil: Player by Player,,144
2756,Brazilian Jiu-Jitsu,The Ultimate Guide to Dominating Brazilian Jiu-Jitsu and Mixed Martial Arts Combat,192
2757,Brazil's Dance with the Devil,"The World Cup, The Olympics, and the Struggle for Democracy",200
2758,Break Point,The Secret Diary of a Pro Tennis Player,295
2759,Breakaway,From Behind the Iron Curtain to the NHLâ€”The Untold Story of Hockey's Great Escapes,288
2760,Breaking Away,"A Harrowing True Story of Resilience, Courage, and Triumph",320
2761,Breaking Back,,288
2762,Breaking Back,How I Lost Everything and Won Back My Life,303
2763,Breaking Balls,The Funny Side of the GAA,280
2764,Breaking Cardinal Rules,Basketball and the Escort Queen,150
2765,Breaking Clays,"Target, Tactics, Tips and Techniques",224
2766,Breaking Free,My Life with Dissociative Identity Disorder,256
2767,Breaking Ground,How Jackie Robinson Changed Brooklyn,134
2768,Breaking Out,A Woman's Guide to Coping with Acne at Any Age,256
2769,Breaking The Chain,Drugs and Cycling - The True Story,0
2770,Breaking the Color Barrier,"The Story of the First African American NFL Head Coach, Frederick Douglass ""Fritz"" Pollard",0
2771,Breaking the Line,The Season in Black College Football That Transformed the Sport and Changed the Course of Civil Rights,336
2772,Breaking the Line,The Season in Black College Football That Transformed the Sport and Changed the Course of Civil Rights,320
2773,Breaking the Slump,,256
2774,Breaking the Surface,,320
2775,Breaking Trail,A Climbing Life,336
2776,Breakthrough 'Boys,The Story of the 1971 Super Bowl Champion Dallas Cowboys,304
2777,Breakthrough In Golf,Building a Winning Golf Swing with the Hip to Hip (TM) Method,148
2778,Breathing & Relaxation: Golf Tips,Anti-Stress Program & Power for Your Swing,35
2779,Breathing Spaces,"Qigong, Psychiatry, and Healing in China",256
2780,Bred To Run,The Making Of A Thoroughbred,336
2781,"Breeder's Guide to Mare, Foal, and Stallion Care",,400
2782,Bregaglia Boulder,Miniguida del Bregaglia Boulder Park - Stampa (CH),13
2783,Brendan Rogers,,8
2784,Brett,His Own Story,240
2785,Brett Favre,A Packer Fan's Tribute Third Edition: The Final Season,192
2786,Brett Lee - My Life,,0
2787,Brewers Essential,Everything You Need to Know to Be a Real Fan!,177
2788,Brian Barwick,Anfield Days and Wembley Ways,256
2789,Brian Clough - Sunderland Legend,,20
2790,Brian O'Driscoll: The Biography,The Story of Ireland's Greatest Rugby Hero,408
2791,Bricks & Mortals,Ten Great Buildings and the People They Made,160
2792,Bridge for Complete Beginners,,0
2793,Bridge Resource Management for Small Ships: The Watchkeeper's Manual for Limited-Tonnage Vessels,,192
2794,Bridging the Gender Gap In Sports Leadership,An Evaluation of Female Soccer Coaches,168
2795,Bridging Two Dynasties,,361
2796,Bridging Two Dynasties,The 1947 New York Yankees,362
2797,Bright Red,The Liverpool/Manchester United Matches,329
2798,Bright Rivers,Celebrations of Rivers and Fly-fishing,176
2799,Brightest of Silver Linings: Climbing Carstensz Pyramid In Papua At Age 65,,199
2800,Brilliant OrangeThe Neurotic Genius of Dutch Soccer: The Neurotic Genius of Dutch Soccer,,288
2801,Bring In the Right-Hander!,My Twenty-Two Years in the Major Leagues,312
2802,Bring Me the Head of Trevor Brooking,Three Decades of East End Soap Opera at West Ham United,272
2803,Bringing the Heat,,512
2804,BriSCA F1 Stockcar Racing - Scrapbook 2,,108
2805,Bristol Rovers,,710
2806,Brit at the Ballpark,An Englishman's Baseball Tour of All 50 States,217
2807,Britain and Ireland's Top 100 Racehorses of All Time,,320
2808,"Britain and the Olympic Games, 1908-1920",Perspectives on Participation and Identity,302
2809,Britainâ€™s Game Fishes,Celebration and Conservation of Salmonids,240
2810,Britain's Heroes and Villains,,260
2811,Britain's Winning Formula,Achieving World Leadership in Motorsports,304
2812,British and Irish Lions: Player by Player,,128
2813,British Asians and Football,"Culture, Identity, Exclusion",200
2814,British Battlecruisers of the Second World War,,64
2815,British Destroyers,J-C and Battle Classes,64
2816,British Destroyers A-I and Tribal Classes,A-I and Tribal Classes,64
2817,British Football & Social Exclusion,,288
2818,British Football & Social Exclusion,,242
2819,British Gunmakers,"Volume Two - BIRMINGHAM, SCOTLAND AND THE REGIONS",460
2820,British River Navigations,"Inland Cuts, Fens, Dikes, Channels and Non-tidal Rivers",256
2821,British Sport - A Bibliography to 2000,Volume 2: Local Histories,310
2822,British Sport - a Bibliography to 2000,"Volume 3: Biographical Studies of Britsh Sportsmen, Women and Animals",176
2823,British Sport: a Bibliography to 2000,Volume 1: Nationwide Histories,196
2824,Broadcast Rites and Sites,I Saw It on the Radio with the Boston Red Sox,424
2825,Broadcasting Baseball,A History of the National Pastime on Radio and Television,281
2826,Brock Lesnar,The Making of a Hard-Core Legend,210
2827,Brody,The Triumph and Tragedy of Wrestlings Rebel,256
2828,Broke Through Britain,One Man's Penniless Odyssey,256
2829,Broken and Battered,,0
2830,Broken Baseball Numbers A Review Of Sabermetrics And What It Means To The Game,,317
2831,Broken Harts,The Life and Death of Owen Hart,272
2832,Broken Seas,True Tales of Extraordinary Seafaring Adventures,216
2833,Brook Trout,"A Thorough Look at North America's Great Native Trout- Its History, Biology, and Angling Possibilities",464
2834,Brooklyn Bounce,The Highs and Lows of Nets Basketball??s Historic First Season in the Borough,256
2835,Brooklyn Bounce,The Highs and Lows of Nets Basketballâ€™s Historic First Season in the Borough,288
2836,Brooklyn's Dodgers,"The Bums, the Borough, and the Best of Baseball, 1947-1957",225
2837,Brooks: The Biography of Brooks Robinson,,250
2838,Brooks: The Biography of Brooks Robinson,,0
2839,Brotherboys,The story of Jim and Phillip Krakouer,280
2840,Brothers in Sport GAA: GAA Family Dynasties,,320
2841,Brown University Baseball,A Legacy of the Game,192
2842,Browns Essential,Everything You Need to Know to be a Real Fan!,193
2843,Browns Glory,"For the Love of Ozzie, the Toe, and Otto",256
2844,Browns Scrapbook,"A Fond Look Back at Five Decades of Football, from a Legendary Cleveland Sportswriter",204
2845,Bruce Lee  Wisdom for the Way,,70
2846,Bruce Lee Jeet Kune Do,Bruce Lee's Commentaries on the Martial Way,400
2847,Bruce Lee Striking Thoughts,Bruce Lee's Wisdom for Daily Living,256
2848,Bruce Lee The Tao of Gung Fu,A Study in the Way of Chinese Martial Art,200
2849,Bruce Lee: Artist of Life,,288
2850,Bruce Lee: Letters of the Dragon,"An Anthology of Bruce Lee's Correspondence with Family, Friends, and Fans 1958-1973",256
2851,Bruce Lee: The Art of Expressing the Human Body,,256
2852,Bruce Lee: The Celebrated Life of the Golden Dragon,,200
2853,Bruce Lee: Words of the Dragon,"Interviews, 1958-1973",176
2854,Bruce Lee's Fighting Method,The Complete Edition,450
2855,Bruin 100,The Greatest Games in the History of UCLA Basketball,192
2856,Bruin Redemption,The Stanley Cup Returns to Boston,256
2857,Bruising,A Boxer's Story,230
2858,Brumbies,The Super 12 years,208
2859,Brush Like a Badass,A curler's guide to great sweeping,42
2860,BTEC First Sport Level 2,,385
2861,BTEC First Sport Level 2 Assessment Guide: Unit 1 Fitness for Sport & Unit 2 Exercise and Practical Sports Performance,,113
2862,BTEC First Sport Level 2 Assessment Guide: Unit 3 The Mind and Sports Performance,,65
2863,BTEC First Sport Level 2 Assessment Guide: Unit 4 The Sports Performer in Action,,65
2864,BTEC First Sport Level 2 Assessment Guide: Unit 5 Training for Personal Fitness,,63
2865,BTEC First Sport Level 2 Assessment Guide: Unit 6 Leading Sports Activities,,65
2866,"BTEC National Sport: Development, Coaching and Fitness",,384
2867,Bubba Watson: Victory at the Masters,A Golf Channel Profile,96
2868,Bubishi,The Classic Manual of Combat,256
2869,Buck Ewing,A Baseball Biography,215
2870,Bucketfoot Al,The Baseball Life of Al Simmons,253
2871,Buckeye Madness,Great Eras in Ohio State Football,272
2872,Buckeye Madness,"The Glorious, Tumultuous, Behind-the-Scenes Story of Ohio State Football",320
2873,Buckeye Rebirth,"Urban Meyer, an Inspired Team, and a New Era At Ohio State",272
2874,Buckeye Wisdom,Insight & Inspiration from Coach Earle Bruce,128
2875,Buckeyeology Trivia Challenge,Ohio State Buckeyes Football,96
2876,Bucky Harris,A Biography of Baseball's Boy Wonder,321
2877,Bud Fowler,Baseball's First Black Professional,237
2878,Bud Moore,Memoir of a Country Mechanic from D-Day to NASCAR Glory,212
2879,Bud Moore's Right Hand Man,A NASCAR Team Manager's Career at Full Throttle,239
2880,"Bud, Sweat, And Tees","Hootie, Martha, and the Masters of the Universe",320
2881,Budgie,The Autobiography of Goalkeeping Legend John Burridge,288
2882,Buehler's Backyard Boatbuilding,,320
2883,Buehler's Backyard Boatbuilding for the 21st Century,,416
2884,Buffalo Bills,The Complete Illustrated History,192
2885,Buffalo Bills IQ: The Ultimate Test of True Fandom,The Ultimate Test of True Fandom,48
2886,Buffalo!,,256
2887,Bug Out Bag Basics,,32
2888,Bug Out Bag: How to get your personal bug-out-bag together,,50
2889,Bugs From Beyond,Crawf's Kick it to Nick,96
2890,Build a Bonfire,How Football Fans United to Save Brighton and Hove Albion,230
2891,Build and Pilot Your Own Walkalong Gliders,,256
2892,Build the Perfect Bug Out Bag,Your 72-Hour Disaster Survival Kit,208
2893,Build the Perfect Bug Out Survival Skills,Your Guide to Emergency Wilderness Survival,224
2894,Build the Perfect Bug Out Vehicle,The Disaster Survival Vehicle Guide,224
2895,Build the Perfect Survival Kit,,256
2896,Build the Perfect Survival Kit,"Custom Kits for Adventure, Sport, Travel",160
2897,Build the Swing of a Lifetime,The Four-Step Approach to a More Efficient Swing,208
2898,BUILD YOUR OWN CANOE,,160
2899,Build Your Own Electric Bicycle,,272
2900,Build Your Own Transistor Radios,A Hobbyist's Guide to High-Performance and Low-Powered Radio Circuits,0
2901,Build Your Running Body,"A Total-Body Fitness Plan for All Distance Runners, from Milers to Ultramarathoners??Run Farther, Faster, and Injury-Free",448
2902,Build Your Running Body,"A Total-Body Fitness Plan for All Distance Runners, from Milers to Ultramarathonersâ€”Run Farther, Faster, and Injury-Free",250
2903,Building a Better Basketball Program,,132
2904,Building a Chain of Customers,,0
2905,Building a Championship Football Team,,157
2906,Building a Man-to-Man Defense,,94
2907,Building a Winning Basketball Program,,124
2908,Building Championship-Caliber Football Programs,Inside the Locker Rooms and Minds of State Champion Head Football Coaches,225
2909,Building Community Capacity for Tourism Development,,196
2910,Building Outrigger Sailing Canoes,"Modern Construction Methods for Three Fast, Beautiful Boats",192
2911,"Building Playgrounds, Engaging Communities",Creating Safe and Happy Places for Children,216
2912,Building Strip-Planked Boats,,288
2913,Building Your Own Climbing Wall,Illustrated Instructions and Plans for Indoor and Outdoor Walls,144
2914,Build-Up Play,,140
2915,Built for Show,"Four Body-Changing Workouts for Building Muscle, Losing Fat, andLooking Good Eno ugh to Hook Up",256
2916,Built to Win,The Female Athlete as Cultural Icon,250
2917,Built to Win,Inside Stories and Leadership Strategies from Baseball's Winningest GM,288
2918,"Bulgarian Bruises, Bloodgate and Other Stories",The Changing World of Rugby,304
2919,Bull Canyon,"A Boatbuilder, a Writer and other Wildlife",304
2920,Bulldog Madness,Great Eras in Georgia Football,256
2921,Bulletproof Mascara,A Novel,400
2922,Bullpen Diaries,"Mariano Rivera, Bronx Dreams, Pinstripe Legends, and the Future of the New York Yankees",384
2923,Bulls Before Breakfast,"Running with the Bulls and Celebrating Fiesta de San FermÃ­n in Pamplona, Spain",336
2924,"Bulls, Bears, & Basketball",Financial Planning for College Hoops Fans,264
2925,Bullseye!,Hitting Your Strategic Targets Through High-Impact,220
2926,"Bum Phillips: Coach, Cowboy, Christian","Coach, Cowboy, Christian",210
2927,Bum Steer,,0
2928,Bummy and the Coach,,430
2929,"Bump Elliott, the Michigan Wolverines and Their 1964 Championship Football Season",Bump Elliott and the Football Squad That Defied Expectations,248
2930,Bums No More,"The 1959 Los Angeles Dodgers, World Champions of Baseball",255
2931,Bums: An Oral History of the Brooklyn Dodgers,,464
2932,Burgundy,"A Comprehensive Guide to the Producers, Appelatio",0
2933,Buried,,336
2934,Buried in the Sky: The Extraordinary Story of the Sherpa Climbers on K2's Deadliest Day,The Extraordinary Story of the Sherpa Climbers on K2's Deadliest Day,304
2935,Burleigh Grimes,Baseball's Last Legal Spitballer,245
2936,Burn Budgie Byrne,Football Inferno,272
2937,Burn Fat Build Muscle,Build big muscles and burn fat at the same time,154
2938,Burning Rubber,The Extraordinary Story of Formula One,0
2939,Burnley FC Miscellany,Everything you ever needed to know about The Clarets,128
2940,Bury Me in My Jersey,"A Memoir of My Father, Football, and Philly",240
2941,Bury Me in My Jersey,"A Memoir of My Father, Football, and Philly",0
2942,Bury Me With My Whistle,,228
2943,Bury My Heart At Cooperstown,"Salacious, Sad, and Surreal Deaths In the History of Baseball",224
2944,"Buses, Trains and Gaelic Games",A History of C.I.E. G.A.A Clubs,220
2945,Bush League Boys,The Postwar Legends of Baseball in the American Southwest,224
2946,Bush Pilots,Legends of the Old and Bold,192
2947,Bushcraft 101,A Field Guide to the Art of Wilderness Survival,256
2948,Bushell's Best Bits,Everything You Ever Needed to Know About the World's Craziest Sports,410
2949,Bushers,Ballplayers Drawn from Left Field,132
2950,Bushers,Ballplayers Drawn from Left Field,133
2951,Bushido,The Classic Portrait of Samurai Martial Culture,160
2952,Bushmeat and Livelihoods,Wildlife Management and Poverty Reduction,286
2953,Bushville Wins!,"The Wild Saga of the 1957 Milwaukee Braves and the Screwballs, Sluggers, and Beer Swiggers Who Canned the New York Yankees and Changed Baseball",250
2954,Bushville Wins!,"The Wild Saga of the 1957 Milwaukee Braves and the Screwballs, Sluggers, and Beer Swiggers Who Canned the New York Yankees and Changed Baseball",304
2955,"Business of Sports, The: Volume 1, Perspectives on the Sports Industry, Volume 2, Economic Perspectives on Sport, Volume 3, Bridging Research and Practice","Volume 1, Perspectives on the Sports Industry, Volume 2, Economic Perspectives on Sport, Volume 3, Bridging Research and Practice",936
2956,Busy Mom's Guide to Prayer,,0
2957,But I Wouldn't Want to Die There,,0
2958,But Now I See,My Journey from Blindness to Olympic Gold,320
2959,But They Can't Beat Us!: Oscar Robertson and the Crispus Attucks Tigers,,999
2960,Butch,The First Year of the Butch Jones Era at the University of Tennessee,123
2961,Butt Seriously,First Time Out on the Iron Butt Rally: An Irishman's Story,113
2962,Buy a Game,Dre Baldwin's Basketball Story from its Beginnings Through College,98
